アパート	apartment
エレベーター	elevator
カメラ	camera
カレンダー	calendar
ギター	guitar
クラス	class
グラム	gram
コート	court
コップ	glass
シャツ	shirt
スカート	skirt
ストーブ	stove
スプーン	spoon
スポーツ	sport
ズボン	pants
スリッパ	slippers
セーター	sweater
ゼロ	zero
タクシー	taxi
テープ	tape
テーブル	table
テスト	test
デパート	department store
テレビ	tv
ドア	door
トイレ	toilet
ナイフ	knife
ニュース	news
ネクタイ	tie
ノート	note
パーティー	party
バス	bus
バター	butter
パン	bread
ハンカチ	handkerchief
フィルム	film
プール	pool
フォーク	fork
パージ	page
ベッド	bed
ペン	pen
ボールペン	ballpoint pen
ポケット	pocket
ボタン	button
ホテル	hotel
マッチ	match
メートル	meter
ラジオ	radio
レコード	record
レストラン	restaurant
ワイシャツ	shirt
あかるい	bright
あさごはん	breakfast
あさって	day after tomorrow
あたたかい	warm
あたらしい	new
あぶない	dangerous
いそがしい	busy
いちにち	ichinichi
いちばん	most
いっしょ	together
いもうと	sister
いりぐち	entrance
いろいろ	various
うまれる	born
えいがかん	cinema
えんぴつ	pencil
おいしい	delicious
おおきい	big
おおぜい	multitude
おかあさん	mom
おくさん	missus
おじいさん	grandfather
おしえる	teach
おてあらい	toilet
おとうさん	dad
おとうと	brother
おとこのこ	boy
おととい	day before yesterday
おととし	two years ago
おにいさん	brother
おねえさん	older sister
おばあさん	granny
おべんとう	lunch box
おぼえる	learn
おもしろい	funny
おんがく	music
おんなのこ	girl
がいこく	foreign countries
がいこくじん	foreigner
かいしゃ	company
かいだん	stairs
かいもの	shopping
がくせい	student
かたかな	katakana
がっこう	school
かようび	tuesday
かわいい	cute
きいろい	yellow
きたない	dirty
きっさてん	cafe
ぎゅうにく	beef
きょうしつ	classroom
きょうだい	sibling
きょねん	last year
ぎんこう	bank
きんようび	friday
ください	please
くだもの	fruit
くつした	socks
けっこう	thank you
けっこん	married
げつようび	monday
げんかん	entrance
こうえん	park
こうばん	alternation
ここのか	9th day of the month
ここのつ	nine
ごしゅじん	husband
こたえる	answer
こんげつ	this month
こんしゅう	this week
こんばん	tonight
さくぶん	writing
さらいねん	year after next
しつもん	question
じてんしゃ	bicycle
じどうしゃ	car
しゃしん	photo
じゅぎょう	class
しゅくだい	homework
じょうず	skillful
じょうぶ	durable
しょうゆ	soy sauce
しょくどう	cafeteria
しんぶん	newspaper
すいようび	Wednesday
すずしい	cool
せっけん	soap
せんげつ	last month
せんしゅう	quanzhou
せんせい	teacher
せんたく	selection
そうして	then
それから	then
それでは	so
だいがく	university
たいしかん	embassy
だいじょうぶ	all right
だいすき	i love
たいせつ	important
たいてい	almost
だいどころ	kitchen
たくさん	a lot
たてもの	building
たのしい	fun
たべもの	food
たんじょうび	birthday
だんだん	gradually
ちいさい	chiisai
ちかてつ	subway
ちゃいろ	brown
ちゃわん	cup
ちょうど	just
ちょっと	a little
ついたち	new moon
つかれる	is stuck
つとめる	strive
つまらない	boring
つめたい	cold
でかける	go out
でんしゃ	electric train
どうして	why
どうぶつ	animal
ときどき	sometimes
としょかん	library
ともだち	friend
どようび	saturday
なつやすみ	summer vacation
ならべる	arranges
にぎやか	bustling
にちようび	sunday
のみもの	drink
はいざら	ashtray
はじまる	to begin
はじめて	for the first time
はじめに	introduction
はたらく	work
ばんごう	number
はんぶん	half
ひこうき	airplane
ひとつき	month
びょういん	hospital
びょうき	disease
ひらがな	hiragana
ひるごはん	lunch
ふうとう	envelope
ぶたにく	pork
べんきょう	study
ほんだな	bookshelf
ほんとうに	really
まいあさ	every morning
まいしゅう	weekly
まいつき	monthly
まいとし	every year
まいにち	every day
まいねん	every year
まいばん	every night
まっすぐ	straight
まんねんひつ	fountain pen
みじかい	short
みなさん	you all
むずかしい	difficult
もくようび	Thursday
もしもし	hello
もちろん	of course
もんだい	problem
やさしい	friendly
ゆうがた	evening
ゆうびんきょく	postal bureau
ゆうめい	fame
ゆっくり	slowly
ようふく	outfit
らいげつ	next month
らいしゅう	next week
らいねん	next year
りゅうがくせい	foreign students
りょうしん	parents
りょうり	cooking
りょこう	travel
れいぞうこ	refrigerator
れんしゅう	practice
わすれる	forget
わたくし	I (formal)
